id,submitdate,startdate,whakgwds,whkontexterlernt1,whkontexterlernt2,whkontexterlernt3,whkontexterlernt4,whkontexterlerntother,whrolle,whanstellung,whprozent1,whprozent2,whprozent3,whbefristung,gserlernt1,gserlernt2,gserlernt3,gserlernt4,gserlerntother,setradition,severtraut,seetabliert,segebraeuchlich,agalter
1,2025-05-12 11:35:25,2025-05-12 11:12:55,1,Y,Y,,,,4,1,40,40,20,1,Y,Y,,,,3,4,4,4,2
2,2025-05-12 11:18:41,2025-05-12 11:14:52,0,,,,Y,,1,1,,25,75,2,,,,,,3,2,2,2,2
3,2025-05-12 11:27:34,2025-05-12 11:16:14,1,,,,,,4,1,60,30,10,1,,,,Y,,1,2,2,,3
4,2025-05-12 11:24:37,2025-05-12 11:17:03,1,,Y,Y,Y,,7,0,,,,,Y,Y,Y,Y,,3,3,3,3,3
5,2025-05-12 11:33:20,2025-05-12 11:18:03,1,,,Y,Y,,2,0,,,,,,Y,Y,,,3,3,3,2,3
6,2025-05-12 11:33:32,2025-05-12 11:21:39,1,,Y,Y,,Y,4,1,10,40,50,2,,,Y,Y,Y,3,4,3,3,3
7,2025-05-12 11:41:57,2025-05-12 11:25:35,1,,Y,Y,,,7,0,,,,,,Y,Y,Y,,2,3,2,2,3
8,2025-05-12 11:44:22,2025-05-12 11:30:32,1,,,Y,Y,,2,1,60,20,20,1,Y,Y,,,,4,4,4,4,2
9,2025-05-12 11:48:15,2025-05-12 11:34:40,1,,,,,,2,0,,,,,,,Y,Y,,2,4,3,3,2
10,2025-05-12 11:58:38,2025-05-12 11:43:49,1,Y,Y,Y,Y,,4,1,30,30,40,1,,,,Y,,3,4,1,2,2
11,2025-05-12 12:09:49,2025-05-12 11:55:49,0,Y,Y,,,,-oth-,0,,,,,Y,Y,,Y,,2,3,1,1,2
12,2025-05-12 13:34:25,2025-05-12 12:21:18,1,Y,Y,,,,-oth-,1,0,30,70,1,Y,Y,,,,2,3,3,2,2
13,2025-05-12 12:46:53,2025-05-12 12:23:21,1,,,,Y,,7,1,25,25,50,1,,,,Y,,2,1,3,2,3
14,2025-05-12 12:53:11,2025-05-12 12:31:06,0,Y,Y,,Y,,2,1,50,20,30,1,Y,Y,,,,3,3,3,3,2
15,2025-05-12 13:33:09,2025-05-12 12:39:46,1,,,Y,,,4,1,40,40,20,1,,Y,Y,Y,,2,3,3,3,4
16,2025-05-12 13:06:57,2025-05-12 12:59:48,,,,,,,,,,,,,,,Y,,,3,4,3,3,2
17,2025-05-12 13:29:56,2025-05-12 13:03:53,1,,Y,Y,,Y,4,1,60,,40,1,,Y,Y,,Y,3,4,4,4,4
18,2025-05-12 13:27:39,2025-05-12 13:13:46,1,,Y,Y,Y,,6,1,40,10,50,2,,,,Y,,2,4,3,3,4
19,2025-05-12 13:52:02,2025-05-12 13:45:53,0,Y,Y,Y,Y,,-oth-,0,,,,,,,Y,,,2,4,2,3,2
20,2025-05-12 13:59:53,2025-05-12 13:52:27,0,,,,,Y,4,1,90,5,5,1,Y,Y,Y,,Y,3,1,4,4,3
21,2025-05-12 15:23:01,2025-05-12 13:59:43,0,,,,Y,,4,1,35,15,50,1,Y,Y,,,,2,4,3,3,3
22,2025-05-12 14:51:23,2025-05-12 14:13:10,1,Y,Y,,Y,,-oth-,1,,,100,2,Y,Y,,,,3,3,4,4,3
23,2025-05-12 15:36:35,2025-05-12 15:18:26,0,,,,,Y,4,1,25,35,40,1,,Y,Y,Y,Y,3,3,3,3,2
24,2025-05-12 15:58:01,2025-05-12 15:33:05,1,,,,Y,,1,1,20,20,60,1,,Y,,,,2,4,2,4,2
25,2025-05-12 15:49:51,2025-05-12 15:33:47,1,,Y,Y,Y,,2,1,50,35,15,1,,,Y,Y,,2,3,2,2,2
26,2025-05-12 16:56:31,2025-05-12 16:07:51,0,,,,,,7,0,,,,,Y,Y,,,,2,4,2,4,3
27,2025-05-12 16:33:34,2025-05-12 16:24:17,0,Y,Y,Y,,,-oth-,1,35,35,30,1,Y,Y,Y,,,2,3,3,3,4
28,2025-05-12 17:17:18,2025-05-12 17:09:09,0,Y,,,,,1,0,,,,,,Y,,,,3,2,3,3,3
29,2025-05-12 17:15:31,2025-05-12 17:10:36,0,,,,,Y,4,1,30,50,20,2,,,,,Y,3,1,1,2,6
30,2025-05-12 17:32:54,2025-05-12 17:23:28,0,Y,Y,,Y,,1,0,,,,,,,,Y,,1,1,3,3,2
31,2025-05-12 18:10:29,2025-05-12 17:50:18,0,Y,Y,Y,Y,,6,1,30,50,20,3,Y,Y,Y,Y,,3,4,3,3,4
32,2025-05-12 18:36:20,2025-05-12 18:30:08,1,Y,Y,,,,2,0,,,,,Y,Y,,Y,,2,2,3,3,4
33,2025-05-12 22:06:12,2025-05-12 19:17:41,0,,,,,,2,0,,,,,Y,Y,Y,,,2,3,4,4,3
34,2025-05-12 19:43:19,2025-05-12 19:28:13,0,Y,Y,,Y,,1,1,5,65,30,1,Y,Y,,,,2,3,3,1,2
35,2025-05-12 20:08:06,2025-05-12 19:32:32,1,Y,,,Y,,-oth-,1,,80,20,1,Y,Y,,Y,,2,4,2,2,2
36,2025-05-12 20:09:47,2025-05-12 19:56:27,0,,,,Y,,1,0,,,,,Y,,,,,2,4,3,4,1
37,2025-05-12 20:08:22,2025-05-12 19:58:54,0,,Y,,,,-oth-,,,,,,,Y,,,,1,2,1,2,2
38,2025-05-12 21:13:48,2025-05-12 20:03:57,0,,,,Y,,3,1,20,60,20,1,,Y,,,,2,3,2,2,3
39,2025-05-12 21:27:45,2025-05-12 20:56:55,0,,,,Y,,4,1,0,50,50,1,Y,Y,Y,Y,,1,3,1,1,3
40,2025-05-12 22:08:57,2025-05-12 21:55:53,0,Y,Y,,,,2,1,80,0,20,1,Y,Y,,,,3,4,4,4,2
41,2025-05-12 22:50:54,2025-05-12 22:43:38,1,Y,,,Y,,1,0,,,,,Y,,,,,3,3,3,3,2
42,2025-05-13 09:29:01,2025-05-13 09:19:41,1,Y,Y,Y,,,4,1,20,50,30,2,,,Y,,,3,3,3,3,3
43,2025-05-13 09:49:53,2025-05-13 09:40:02,0,Y,Y,,,,2,1,20,65,15,1,Y,Y,,,,2,3,3,3,2
44,2025-05-13 10:03:31,2025-05-13 09:50:41,0,,,,,,3,1,0,80,20,1,Y,Y,Y,Y,,3,4,3,3,3
45,2025-05-13 10:17:33,2025-05-13 10:05:15,1,Y,Y,,Y,,1,1,60,10,30,1,,,,Y,,2,3,3,3,1
46,2025-05-13 10:21:49,2025-05-13 10:08:06,0,Y,Y,,,,-oth-,1,60,30,10,1,Y,Y,,,,3,4,2,3,2
47,2025-05-13 10:32:57,2025-05-13 10:17:43,1,,,,,,4,1,80,,20,1,,,,,Y,2,3,3,4,4
48,2025-05-13 10:56:17,2025-05-13 10:33:14,0,,,,,,6,1,10,60,30,3,,,Y,Y,,2,2,2,2,3
49,2025-05-13 10:59:41,2025-05-13 10:47:34,0,Y,Y,,Y,,7,0,,,,,Y,,,Y,,2,3,1,1,2
50,2025-05-13 14:35:37,2025-05-13 14:25:17,1,,,,Y,,2,0,,,,,,,,Y,,3,3,3,2,2
51,2025-05-13 14:51:47,2025-05-13 14:41:42,0,,,,Y,,7,0,,,,,,,Y,Y,,2,1,1,1,3
52,2025-05-13 16:13:54,2025-05-13 16:04:45,0,,,,Y,,7,1,50,50,0,1,,,,Y,,2,3,3,3,3
53,2025-05-13 17:17:05,2025-05-13 16:51:59,1,Y,Y,,,,1,1,,,100,1,,,,Y,,3,3,3,3,2
54,2025-05-14 13:03:01,2025-05-14 12:46:29,0,,,,Y,Y,7,1,30,5,65,3,Y,Y,,,,2,1,3,3,2
55,2025-05-14 14:12:17,2025-05-14 13:39:13,0,,,,Y,,6,1,30,60,10,2,,Y,Y,Y,,1,4,2,2,4
56,2025-05-14 15:06:43,2025-05-14 14:35:44,0,,,,,,2,1,90,,10,1,Y,Y,Y,Y,,2,3,4,4,2
57,2025-05-14 15:55:59,2025-05-14 15:41:57,1,Y,,Y,Y,,4,1,25,25,50,1,,,Y,Y,,1,2,4,2,3
58,2025-05-14 16:42:04,2025-05-14 16:34:34,1,Y,Y,,,,7,0,,,,,Y,Y,,,Y,1,4,3,3,2
59,2025-05-15 07:27:34,2025-05-15 07:20:04,,Y,Y,,,,-oth-,0,,,,,Y,Y,,Y,,2,2,2,,2
60,2025-05-15 21:44:56,2025-05-15 21:35:09,1,Y,Y,Y,Y,,2,0,,,,,,,Y,Y,,2,3,3,3,2
61,2025-05-16 09:04:29,2025-05-16 08:52:50,0,,,,Y,Y,7,0,,,,,,Y,,Y,Y,3,3,3,3,3
62,2025-05-16 11:43:15,2025-05-16 11:34:56,1,Y,Y,Y,,,2,1,80,5,15,1,,Y,Y,Y,,2,3,2,3,2
63,2025-05-18 15:35:28,2025-05-18 15:27:04,0,Y,,,,,-oth-,0,,,,,,,,,,,,,,
64,2025-05-19 01:31:06,2025-05-19 01:16:44,0,Y,Y,Y,Y,,6,1,40,30,30,3,Y,Y,Y,Y,,2,4,4,4,5
65,2025-05-20 14:57:06,2025-05-20 14:36:28,0,Y,,,,,4,1,70,20,10,2,Y,Y,,Y,,2,3,3,3,2
66,2025-05-20 15:13:23,2025-05-20 14:47:58,0,Y,Y,,,,2,0,,,,,,Y,,,,2,1,3,3,2
67,2025-05-21 13:59:26,2025-05-21 13:52:04,0,,,Y,Y,,4,1,100,,,1,,,Y,Y,,1,4,3,1,4
68,2025-05-22 11:06:39,2025-05-22 10:54:01,,,Y,Y,Y,,4,1,20,30,50,1,,Y,Y,Y,,2,1,1,1,2
69,2025-05-23 16:26:55,2025-05-23 16:17:41,1,,,,,,4,1,30,70,,1,,Y,,Y,,3,3,4,3,3
70,2025-05-27 12:34:16,2025-05-27 12:17:46,0,Y,Y,,Y,,1,1,20,,80,1,Y,Y,,,,2,3,4,4,2
71,2025-05-28 11:36:58,2025-05-28 11:27:25,1,Y,Y,,,,2,1,80,,20,1,Y,Y,,,,3,4,4,4,2
72,2025-05-28 12:37:36,2025-05-28 12:25:44,1,,,,Y,,4,1,50,25,25,2,,,,Y,,2,1,4,3,3
73,2025-05-28 14:59:42,2025-05-28 14:52:18,1,,Y,,Y,,7,0,,,,,Y,Y,,Y,,2,4,3,3,2
